timestamp,lat,lon,gps_alt,baro_alt,fused_alt,sats,vib,trust
2026-01-09 17:19:56,27.627602,75.153053,434.5,0.0,217.25,9,0.0,1.0
2026-01-09 17:19:57,27.627601,75.153055,434.8,0.0,217.4,9,0.0,1.0
2026-01-09 17:19:58,27.627603,75.153054,434.4,0.0,217.2,9,0.0,1.0
2026-01-09 17:19:59,27.627604,75.153055,434.4,0.0,217.2,9,0.0,1.0
2026-01-09 17:20:00,27.627604,75.153056,434.6,0.0,217.3,9,0.0,1.0
2026-01-09 17:20:01,27.627604,75.153057,434.7,0.0,217.35,9,0.0,1.0
2026-01-09 17:20:02,27.627604,75.15306,435.3,0.0,217.65,9,0.0,1.0
2026-01-09 17:20:03,27.627604,75.153061,435.3,0.0,217.65,9,0.0,1.0
2026-01-09 17:20:04,27.627604,75.153062,435.5,0.0,217.75,9,0.0,1.0
2026-01-09 17:20:05,27.627604,75.153064,435.6,0.0,217.8,9,0.0,1.0
2026-01-09 17:20:06,27.627603,75.153065,435.8,0.0,217.9,9,0.0,1.0
2026-01-09 17:20:07,27.627603,75.153064,435.7,0.0,217.85,9,0.0,1.0
2026-01-09 17:20:08,27.627603,75.153065,435.8,0.0,217.9,9,0.0,1.0
2026-01-09 17:20:09,27.627602,75.153065,435.9,0.0,217.95,9,0.0,1.0
2026-01-09 17:20:10,27.627602,75.153065,435.9,0.0,217.95,9,0.0,1.0
2026-01-09 17:20:11,27.627602,75.153065,435.8,0.0,217.9,9,0.0,1.0
2026-01-09 17:20:12,27.627602,75.153065,435.8,0.0,217.9,9,0.0,1.0
2026-01-09 17:20:13,27.627602,75.153065,435.9,0.0,217.95,9,0.0,1.0
2026-01-09 17:20:14,27.627602,75.153065,436.0,0.0,218.0,9,0.0,1.0
2026-01-09 17:20:15,27.627602,75.153066,436.0,0.0,218.0,9,0.0,1.0
2026-01-09 17:20:16,27.627602,75.153066,436.1,0.0,218.05,9,0.0,1.0
2026-01-09 17:20:17,27.627602,75.153067,436.2,0.0,218.1,9,0.0,1.0
2026-01-09 17:20:18,27.627602,75.153068,436.2,0.0,218.1,9,0.0,1.0
2026-01-09 17:20:19,27.627602,75.153069,436.1,0.0,218.05,9,0.0,1.0
2026-01-09 17:20:20,27.627602,75.15307,436.3,0.0,218.15,9,0.0,1.0
2026-01-09 17:20:21,27.627602,75.15307,436.4,0.0,218.2,9,0.0,1.0
